NAME,CLASS,CODE,CNPJ,STOCK_TYPE,ISIN,SETOR(BOVESPA),SUBSETOR(BOVESPA),SEGMENTO(BOVESPA),CVM_CODE,CVM_STATUS,CVM_FIRM_TYPE,FIRM_NAME,SOURCE_ECONOMATICA,SOURCE_CVM,SOURCE_BRFIN
ALFA CONSORC,ON;PNA;PNB;PNC;PND;PNE;PNF,BRGE3;BRGE5;BRGE6;BRGE7;BRGE8;BRGE11;BRGE12,17.193.806/0001-46,AÇÃO,BRBRGEACNOR6;BRBRGEACNPA9;BRBRGEACNPB7;BRBRGEACNPC5;BRBRGEACNPD3;BRBRGEACNPE1;BRBRGEACNPF8,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,004707,Concedido em 20/07/1977,CIAS ABERTAS,CONSORCIO ALFA DE ADMINISTRACAO S.A,True,True,False
ALFA FINANC,ON;PN,CRIV3;CRIV4,17.167.412/0001-13,AÇÃO,BRCRIVACNOR4;BRCRIVACNPR1,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,SOC. CRÉDITO E FINANCIAMENTO,003891,Concedido em 20/07/1977,CIAS ABERTAS,FINANCEIRA ALFA S.A.- C.F.I,True,True,False
ALFA HOLDING,ON;PNA;PNB,RPAD3;RPAD5;RPAD6,17.167.396/0001-69,AÇÃO,BRRPADACNOR1;BRRPADACNPA4;BRRPADACNPB2,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,009954,Concedido em 20/07/1977,CIAS ABERTAS,ALFA HOLDINGS S.A.,True,True,False
ALFA INVEST,ON;PN,BRIV3;BRIV4,60.770.336/0001-65,AÇÃO,BRBRIVACNOR6;BRBRIVACNPR3,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001384,Concedido em 20/07/1977,CIAS ABERTAS,BANCO ALFA DE INVESTIMENTO S.A.,True,True,False
ALIANSCE,ON,ALSC3,06.082.980/0001-03,AÇÃO,BRALSCACNOR0,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,021300,Cancelado em 05/08/2019,CIAS ABERTAS,ALIANSCE SHOPPING CENTERS S/A,True,True,False
ALIANSCSONAE,ON,ALSO3,05.878.397/0001-32,AÇÃO,BRALSOACNOR5,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,022357,Concedido em 01/02/2011,CIAS ABERTAS,ALIANSCE SONAE SHOPPING CENTERS S.A.,True,True,False
ALIPERTI,ON;PN,APTI3;APTI4,61.156.931/0001-78,AÇÃO,BRAPTIACNOR6;BRAPTIACNPR3,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,012823,Concedido em 06/06/1986,CIAS ABERTAS,SIDERURGICA J L ALIPERTI SA,True,True,False
ALL NORTE,ON;PNA;PNB,FRRN3B;FRRN5B;FRRN6B,24.962.466/0001-36,AÇÃO,BRFRRNACNOR5;BRFRRNACNPA8;BRFRRNACNPB6,BENS INDUSTRIAIS,TRANSPORTE,TRANSPORTE FERROVIÁRIO,015300,Concedido em 27/12/1995,CIAS ABERTAS,RUMO MALHA NORTE S.A.,True,True,False
ALLIAR,ON,AALR3,42.771.949/0001-35,AÇÃO,BRAALRACNOR6,SAÚDE,SERVIÇOS MÉDICO-HOSPITALARES ANÁLISES E DIAGNÓSTICOS,SERVIÇOS MÉDICO-HOSPITALARES ANÁLISES E DIAGNÓSTICOS,024058,Concedido em 26/10/2016,CIAS ABERTAS,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,True,True,False
ALLIED,ON,ALLD3,20.247.322/0001-47,AÇÃO,BRALLDACNOR3,CONSUMO CÍCLICO,COMÉRCIO,ELETRODOMÉSTICOS,025330,Concedido em 25/11/2020,CIAS ABERTAS,ALLIED TECNOLOGIA S.A.,True,True,False
ALLIS PART,ON,SAGP3B,08.648.295/0001-19,AÇÃO,BRSAGPACNOR2,-,-,-,020850,Cancelado em 26/08/2015,CIAS ABERTAS,ALLIS PARTICIPAÇÕES S.A.,True,True,False
ALPARGATAS,ON;PN,ALPA3;ALPA4,61.079.117/0001-05,AÇÃO,BRALPAACNOR0;BRALPAACNPR7,CONSUMO CÍCLICO,TECIDOS VESTUÁRIO E CALÇADOS,CALÇADOS,010456,Concedido em 20/07/1977,CIAS ABERTAS,ALPARGATAS SA,True,True,False
ALPER S.A.,ON,APER3,11.721.921/0001-60,AÇÃO,BRAPERACNOR9,FINANCEIRO,PREVIDÊNCIA E SEGUROS,CORRETORAS DE SEGUROS E RESSEGUROS,022217,Concedido em 28/10/2010,CIAS ABERTAS,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,True,True,False
ALPHAVILLE,ON,AVLL3,16.811.931/0001-00,AÇÃO,BRAVLLACNOR5,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,025275,Concedido em 05/11/2020,CIAS ABERTAS,ALPHAVILLE S.A.,True,True,False
ALTERE SEC,ON,ALTR3,02.783.423/0001-50,AÇÃO,-,-,-,-,018066,Concedido em 10/12/1998,CIAS ABERTAS,ALTERE SECURITIZADORA S.A.,True,True,False
ALTUS S/A,ON;PN RESG,ALTS3;ALTS11,92.859.974/0001-43,AÇÃO,BRALTSACNOR4;BRALTSARNPR9,BENS INDUSTRIAIS,SERVIÇOS DIVERSOS,SERVIÇOS DIVERSOS,023183,Cancelado em 08/12/2017,CIAS ABERTAS,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,True,True,False
ALUPAR,ON;PN;UNT N2,ALUP3;ALUP4;ALUP11,08.364.948/0001-38,AÇÃO,BRALUPACNOR8;BRALUPACNPR5;BRALUPCDAM15,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,021490,Concedido em 18/06/2008,CIAS ABERTAS,ALUPAR INVESTIMENTO S/A,True,True,False
AM INOX BR,ON;PN,ACES3;ACES4,33.390.170/0001-89,AÇÃO,-,-,-,-,002658,Cancelado em 24/04/2008,CIAS ABERTAS,ARCELORMITTAL INOX BRASIL S.A.,True,True,False
AMADEO ROSSI,PN,ROSI4,96.735.105/0001-68,AÇÃO,-,-,-,-,000361,Cancelado em 18/09/2002,CIAS ABERTAS,AMADEO ROSSI SA MET MUNICOES,True,True,False
AMAZONIA,ON,BAZA3,04.902.979/0001-44,AÇÃO,BRBAZAACNOR0,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,000922,Concedido em 20/07/1977,CIAS ABERTAS,BANCO DA AMAZÔNIA S.A.,True,True,False
AMAZONIA CELULAR,ON;PNA;PNB;PNC;PND;PNE,TMAC3B;TMAC5B;TMAC6B;TMAC7B;TMAC8B;TMAC11B,02.340.278/0001-33,AÇÃO,-,-,-,-,017280,Cancelado em 09/03/2009,CIAS ABERTAS,AMAZONIA CELULAR S/A,True,True,False
AMBEV S/A,ON;PN,ABEV3;AMBV4,07.526.557/0001-00,AÇÃO,BRABEVACNOR1;BRAMBVACNPR1,CONSUMO NÃO CÍCLICO,BEBIDAS,CERVEJAS E REFRIGERANTES,023264,Concedido em 30/10/2013,CIAS ABERTAS,AMBEV S.A.,True,True,False
AMBIPAR,ON,AMBP3,12.648.266/0001-24,AÇÃO,BRAMBPACNOR6,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,024961,Concedido em 15/05/2020,CIAS ABERTAS,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,True,True,False
AMELCO,PN,AMLC4,57.009.078/0001-94,AÇÃO,-,-,-,-,012750,Cancelado em 21/07/2003,CIAS ABERTAS,AMELCO SA IND ELETRONICA,True,True,False
AMERICA DO SUL,PNA,BASU5,61.230.165/0001-44,AÇÃO,-,-,-,-,000787,Cancelado em 24/08/2000,CIAS ABERTAS,BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.,True,True,False
AMERICANAS,ON,AMER3,00.776.574/0001-56,AÇÃO,BRAMERACNOR6,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,020990,Concedido em 26/07/2007,CIAS ABERTAS,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,True,True,False
AMIL,ON,AMIL3,36.461.242/0001-20,AÇÃO,BRAMILACNOR0,-,-,-,021172,Cancelado em 09/05/2013,CIAS ABERTAS,AMIL PARTICIPAÇÕES S/A,True,True,False
AMPLA ENERG,ON,CBEE3,33.050.071/0001-58,AÇÃO,BRCBEEACNOR3,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,003050,Concedido em 15/08/1969,CIAS ABERTAS,AMPLA ENERGIA E SERVIÇOS S.A.,True,True,False
AMPLA INVEST,ON,AMPI3,07.809.905/0001-56,AÇÃO,BRAMPIACNOR1,-,-,-,020214,Cancelado em 23/05/2012,CIAS ABERTAS,AMPLA INVESTIMENTOS E SERVIÇOS S/A,True,True,False
ANGLO BRAZIL,ON,IRON3,09.295.979/0001-47,AÇÃO,-,-,-,-,021458,Cancelado em 19/12/2008,CIAS ABERTAS,IRONX MINERAÇÃO S/A,True,True,False
ANHANGUERA,ON;PN;UNT N2,AEDU3;AEDU4;AEDU11,04.310.392/0001-46,AÇÃO,BRAEDUACNOR9;-,-,-,-,018961,Cancelado em 08/10/2014,CIAS ABERTAS,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,True,True,False
ANIMA,ON,ANIM3,09.288.252/0001-32,AÇÃO,BRANIMACNOR6,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,023248,Concedido em 24/10/2013,CIAS ABERTAS,ANIMA HOLDING S/A,True,True,False
ANTARCT NORDESTE,ON,IBAN3,IBAN3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
ANTARCT NORDESTE,PNA,IBAN5,IBAN5,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
ANTARCTICA MG,PNA,ITLM5,23.536.691/0001-48,AÇÃO,-,-,-,-,003581,Cancelado em 11/01/1999,CIAS ABERTAS,IND BEBS ANTARCTICA MG SA,True,True,False
ANTARCTICA PAULISTA,ON;PN,ANTA3;ANTA4,60.522.000/0001-83,AÇÃO,-,-,-,-,002755,Cancelado em 18/01/2000,CIAS ABERTAS,COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC),True,True,False
ANTARCTICA PB,ON;PNA,ANPB3;ANPB5,09.259.821/0001-11,AÇÃO,-,-,-,-,013188,Cancelado em 11/01/1999,CIAS ABERTAS,IND BEBS ANTARCTICA PARAIBA SA,True,True,False
ANTARCTICA PI,PNA;PNB,IBPI5;IBPI6,05.234.760/0001-87,AÇÃO,-,-,-,-,006998,Cancelado em 11/01/1999,CIAS ABERTAS,IND BEBS ANTARCTICA PIAUI SA,True,True,False
AQUATEC,PN,AQT4,AQT4,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
ARACRUZ,ON;PNA;PNB,ARCZ3;ARCZ5;ARCZ6,42.157.511/0001-61,AÇÃO,-,-,-,-,000434,Cancelado em 31/12/2009,CIAS ABERTAS,ARACRUZ CELULOSE S/A,True,True,False
ARAUCARIA,ON,VDNP3B,03.616.277/0001-31,AÇÃO,BRVDNPACNOR6,-,-,-,018651,Cancelado em 14/11/2014,CIAS ABERTAS,ARAUCÁRIA PARTICIPAÇÕES SA,True,True,False
ARCELOR BR,ON;PN,ARCE3;ARCE4,24.315.012/0001-73,AÇÃO,-,-,-,-,003964,Cancelado em 15/06/2007,CIAS ABERTAS,ARCELOR BRASIL S.A.,True,True,False
AREZZO CO,ON,ARZZ3,16.590.234/0001-76,AÇÃO,BRARZZACNOR3,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS VESTUÁRIO E CALÇADOS,022349,Concedido em 31/01/2011,CIAS ABERTAS,AREZZO INDÚSTRIA E COMERCIO S/A,True,True,False
ARMAC,ON,ARML3,00.242.184/0001-04,AÇÃO,BRARMLACNOR1,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,026069,Concedido em 26/07/2021,CIAS ABERTAS,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",True,True,False
ARNO,PN,ARNO4,61.064.978/0001-01,AÇÃO,-,-,-,-,000523,Cancelado em 16/05/2000,CIAS ABERTAS,ARNO SA,True,True,False
ARTEB,ON,ATBS3,62.291.380/0001-18,AÇÃO,-,-,-,-,015881,Cancelado em 25/01/2010,CIAS ABERTAS,INDS ARTEB SA,True,True,False
ARTERIS,ON,ARTR3,02.919.555/0001-67,AÇÃO,BRARTRACNOR3,BENS INDUSTRIAIS,TRANSPORTE,EXPLORAÇÃO DE RODOVIAS,019771,Concedido em 06/07/2005,CIAS ABERTAS,ARTERIS S.A.,True,True,False
ARTHUR LANGE,ON;PN,ARLA3;ARLA4,92.189.356/0001-33,AÇÃO,-,-,-,-,000574,Cancelado em 04/01/2011,CIAS ABERTAS,ARTHUR LANGE SA IND E COM,True,True,False
ASSAI,ON,ASAI3,06.057.223/0001-71,AÇÃO,BRASAIACNOR0,CONSUMO NÃO CÍCLICO,COMÉRCIO E DISTRIBUIÇÃO,ALIMENTOS,025372,Concedido em 11/12/2020,CIAS ABERTAS,SENDAS DISTRIBUIDORA S.A.,True,True,False
ATMASA,ON;PN;UNT N2,ATMP3;CTAX4;CTAX11,04.032.433/0001-80,AÇÃO,BRATMPACNOR8;BRCTAXACNPR0;BRCTAXCDAM19,BENS INDUSTRIAIS,SERVIÇOS DIVERSOS,SERVIÇOS DIVERSOS,019100,Concedido em 29/10/2001,CIAS ABERTAS,ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL,True,True,False
ATOMPAR,ON,ATOM3,00.359.742/0001-08,AÇÃO,BRATOMACNOR1,OUTROS,OUTROS,OUTROS,015423,Concedido em 28/02/1996,CIAS ABERTAS,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,True,True,False
AURA 360,ON,AURA33,07.857.093/0001-14,AÇÃO,BRAURABDR001,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,-,-,-,-,True,False,False
AUREN,ON,AURE3,28.594.234/0001-23,AÇÃO,BRAUREACNOR9,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,026620,Concedido em 25/02/2022,CIAS ABERTAS,AUREN ENERGIA S.A,True,True,False
AUTOMETAL,ON,AUTM3,59.104.513/0001-95,AÇÃO,BRAUTMACNOR8,-,-,-,022381,Cancelado em 14/10/2014,CIAS ABERTAS,AUTOMETAL S/A,True,True,False
AZEVEDO,ON;PN,AZEV3;AZEV4,61.351.532/0001-68,AÇÃO,BRAZEVACNOR0;BRAZEVACNPR7,BENS INDUSTRIAIS,CONSTRUÇÃO E ENGENHARIA,CONSTRUÇÃO PESADA,011975,Concedido em 20/08/1984,CIAS ABERTAS,AZEVEDO & TRAVASSOS SA,True,True,False
AZUL,PN,AZUL4,09.305.994/0001-29,AÇÃO,BRAZULACNPR4,BENS INDUSTRIAIS,TRANSPORTE,TRANSPORTE AÉREO,024112,Concedido em 07/04/2017,CIAS ABERTAS,AZUL S.A.,True,True,False
B TECH EQI,ON;PN,BLUT3;BLUT4,60.637.238/0001-54,AÇÃO,BRBLUTACNOR8;BRBLUTACNPR5,OUTROS,OUTROS,OUTROS,012319,Concedido em 14/03/1985,CIAS ABERTAS,BLUE TECH SOLUTIONS EQI S.A.,True,True,False
B3,ON,B3SA3,09.346.601/0001-25,AÇÃO,BRB3SAACNOR6,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,SERVIÇOS FINANCEIROS DIVERSOS,021610,Concedido em 11/08/2008,CIAS ABERTAS,"B3 S.A. - BRASIL, BOLSA, BALCÃO",True,True,False
BAHEMA,ON;PN,BAHI3;BAHI4,45.987.245/0001-92,AÇÃO,BRBAHIACNOR1;-,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,000701,Concedido em 02/01/1974,CIAS ABERTAS,BAHEMA EDUCACAO S.A.,True,True,False
BAHEMA EQUIPAMENT,PN,BHEQ4,96.832.365/0001-51,AÇÃO,-,-,-,-,018155,Cancelado em 31/10/2003,CIAS ABERTAS,BAHEMA EQUIPAMENTOS SA,True,True,False
BAHIA SUL,PNA,BSUL5,BSUL5,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BAN ARMAZENS,ON,CBAG3,58.128.174/0001-14,AÇÃO,-,-,-,-,002810,Cancelado em 20/05/2011,CIAS ABERTAS,CIA BANDEIRANTES ARMS GERAIS,True,True,False
BANCO BEC,ON;PN,BECE3;BECE4,07.196.934/0001-90,AÇÃO,-,-,-,-,001147,Cancelado em 31/05/2006,CIAS ABERTAS,"ALVORADA CARTOES, CREDITO, FINANCIAMENTO E INVESTIMENTO S/A",True,True,False
BANCO BMG,PN;UNT,BMGB4;BMGB11,61.186.680/0001-74,AÇÃO,BRBMGBACNPR0;BRBMGBCDAM17,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,024600,Concedido em 17/12/2018,CIAS ABERTAS,BANCO BMG S/A,True,True,False
BANCO INTER,ON;PN;UNT,BIDI3;BIDI4;BIDI11,00.416.968/0001-01,AÇÃO,BRBIDIACNOR3;BRBIDIACNPR0;BRBIDICDAXX3,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,024406,Cancelado em 02/12/2022,CIAS ABERTAS,BANCO INTER S.A.,True,True,False
BANCO PAN,PN,BPAN4,59.285.411/0001-13,AÇÃO,BRBPANACNPR1,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,021199,Concedido em 12/11/2007,CIAS ABERTAS,BANCO PAN SA,True,True,False
BANDEIRANTE ENERG,ON;PN,EBEN3;EBEN4,02.302.100/0001-06,AÇÃO,-,-,-,-,016985,Concedido em 27/03/1998,CIAS ABERTAS,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,True,True,False
BANDEIRANTES,PN,BBCM4,61.071.387/0001-61,AÇÃO,-,-,-,-,000841,Cancelado em 28/11/2002,CIAS ABERTAS,UNICARD BANCO MULTIPLO S.A.,True,True,False
BANESE,ON;PN,BGIP3;BGIP4,13.009.717/0001-46,AÇÃO,BRBGIPACNOR1;BRBGIPACNPR8,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001120,Concedido em 20/07/1977,CIAS ABERTAS,BANCO DO ESTADO DE SERGIPE SA,True,True,False
BANESPA,ON;PN,BESP3;BESP4,61.411.633/0001-87,AÇÃO,-,-,-,-,001112,Cancelado em 31/08/2006,CIAS ABERTAS,BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA,True,True,False
BANESTADO,PN,BEPA4,76.492.172/0001-91,AÇÃO,-,-,-,-,001180,Cancelado em 29/08/2003,CIAS ABERTAS,BANCO BANESTADO SA,True,True,False
BANESTES,ON;PN,BEES3;BEES4,28.127.603/0001-78,AÇÃO,BRBEESACNOR9;BRBEESACNPR6,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001155,Concedido em 20/07/1977,CIAS ABERTAS,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,True,True,False
